# Copilot library renders - version record (old/ and new/)
#
# old/  ballerina-platform/ballerina-vscode @ main                              eb5d81b3b283b5681306a75bfb48aa3172a9fb80
# new/  Check-PR-s/ballerina-vscode @ L1_json_and_annotations_with_spec_v2      412ba01e36a017d80b299e94ba168db70ba835d9
# Ballerina 2201.13.4 (Swan Lake Update 13)
#
# old/ resolved via PackageUtil.getModulePackage(org, name)          - pinned by cache contents (FORCE_OFFLINE)
# new/ resolved via PackageUtil.getModulePackage(org, name, version) - pinned explicitly (spec-v2 overload)
#
# library                                               pinned      old resolved  new resolved  status

ballerina/ai                                          1.13.0      1.13.0        1.13.0        PIN_OK
ballerina/email                                       2.14.0      2.14.0        2.14.0        PIN_OK
ballerina/ftp                                         2.20.1      2.20.1        2.20.1        PIN_OK
ballerina/grpc                                        1.14.7      1.14.7        1.14.7        PIN_OK
ballerina/graphql                                     1.17.0      1.17.0        1.17.0        PIN_OK
ballerina/http                                        2.16.6      2.16.6        2.16.6        PIN_OK
ballerina/mcp                                         1.2.0       1.2.0         1.2.0         PIN_OK
ballerina/tcp                                         1.13.8      1.13.8        1.13.8        PIN_OK
ballerina/udp                                         1.13.6      1.13.6        1.13.6        PIN_OK
ballerina/websocket                                   2.15.5      2.15.5        2.15.5        PIN_OK
ballerina/websub                                      2.15.0      2.15.0        2.15.0        PIN_OK
ballerina/mqtt                                        1.4.1       1.4.1         1.4.1         PIN_OK
ballerinax/ai.devant                                  1.0.4       1.0.4         1.0.4         PIN_OK
ballerinax/ai.memory.mssql                            1.3.0       1.3.0         1.3.0         PIN_OK
ballerinax/ai.anthropic                               1.3.4       1.3.4         1.3.4         PIN_OK
ballerinax/azure.ai.search                            1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/azure.ai.search.index                      1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/azure.openai.chat                          4.0.0       4.0.0         4.0.0         PIN_OK
ballerinax/ai.deepseek                                1.1.4       1.1.4         1.1.4         PIN_OK
ballerinax/milvus                                     1.1.1       1.1.1         1.1.1         PIN_OK
ballerinax/mistral                                    1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/ai.ollama                                  1.2.4       1.2.4         1.2.4         PIN_OK
ballerinax/openai.chat                                5.0.0       5.0.0         5.0.0         PIN_OK
ballerinax/openai.audio                               3.0.0       3.0.0         3.0.0         PIN_OK
ballerinax/openai.finetunes                           3.0.0       3.0.0         3.0.0         PIN_OK
ballerinax/ai.pgvector                                1.0.5       1.0.5         1.0.5         PIN_OK
ballerinax/pinecone.vector                            1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/weaviate                                   1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/aws.lambda                                 3.3.0       3.3.0         3.3.0         PIN_OK
ballerinax/aws.marketplace.mpe                        1.0.0       1.0.0         1.0.0         PIN_OK
